,score,scale,theta_all,trans_x,trans_y,pro1,pro2
30,11.13424573,1.8,-2.85099976,-5,1,1.066774822,1.567335687
31,12.88201228,1.8,2.45750845,-5,1,1.234228209,1.725357372
32,10.79653233,1.8,2.7841697,-5,1,1.03441805,1.567426915
33,11.19798597,1.8,-2.27891149,-5,1,1.072882967,1.508275023
34,11.26957798,1.8,-2.1777762,-5,1,1.079742732,1.647153787
35,11.27399108,1.8,2.79559253,-5,1,1.080163484,1.515925358
36,11.87690785,1.8,0.7136637,-5,1,1.137940577,1.649467567
37,9.604562812,1.8,-1.98012479,-5,1,0.920217983,1.516154588
38,9.671609228,1.8,-2.72501689,-5,1,0.926639315,1.15257649
39,10.63712061,1.8,-1.50574529,-5,1,1.019150331,1.396382579
40,9.914559526,1.8,1.94148968,-5,1,0.949916758,1.714442724
41,11.16464664,1.8,-1.04335788,-5,1,1.069694494,1.577459386
42,12.71537541,1.8,-1.28189582,-5,1,1.218270207,1.497450246
43,11.64807853,1.8,-3.11626226,-5,1,1.116005187,1.715702691
44,10.00532743,1.8,-2.19478851,-5,1,0.958614304,1.250987149
45,12.37159879,1.8,1.08622446,-5,1,1.185330818,1.575917431
46,12.58518416,1.8,-1.03269731,-5,1,1.205797491,1.427964893
47,8.789275362,1.8,1.79707879,-5,1,0.842103259,1.299509419
48,10.80391357,1.8,-2.04833159,-5,1,1.035127969,1.616998745
49,9.688121524,1.8,-2.19093945,-5,1,0.928222701,1.336473033
50,13.2449402,1.8,-1.59900938,-5,1,1.269006987,1.685968084
51,10.32257659,1.8,-2.56735689,-5,1,0.989008845,1.337386898
52,9.479356519,1.8,-2.92900726,-5,1,0.908219462,1.324819534
53,10.66232804,1.8,1.12363775,-5,1,1.02156411,1.481854762
54,12.12971301,1.8,2.2145116,-5,1,1.162150574,1.666215869
55,11.28543899,1.8,-0.82930083,-5,1,1.081269363,1.415588281
56,11.20207456,1.8,0.80028112,-5,1,1.073282301,1.923275668
57,10.96552874,1.8,1.83772141,-5,1,1.050610679,1.363416959
58,11.01752357,1.8,-0.72788393,-5,1,1.055601304,1.627692419
59,11.45829443,1.8,0.69598253,-5,1,1.0978331,1.59826566
