,scale,x_A,x_B,y_A,y_B,sigma_x_A,sigma_x_B,sigma_y_A,sigma_y_B
28,0.64,44.258308379506296,74.15852884460125,65.01094154115118,63.49141814662054,17.595743960564594,19.20139238539439,13.589825421639645,22.107851999258827
29,0.7133333333333334,38.862939792919086,74.24256961704222,65.48514254634777,63.372142889798624,17.877025837297637,19.246909723529257,12.913889349246443,22.288468904864754
30,0.006666666666666667,58.346500736888395,65.71792522513742,63.50893010551627,62.9577890053249,25.04213292323031,18.534095811316813,26.01567261241836,17.28487583791898
31,0.8666666666666667,12.404523628601643,76.22463563540002,67.99652933277807,63.22217310843355,20.953618804711812,17.89252984985029,11.893085911442665,21.528523301672525
32,0.8933333333333333,4.571853145545349,77.670541107503,68.24141583404365,63.308913177361525,21.812875487044934,17.141403053501314,11.794817236791243,21.122545445857703
33,0.8533333333333334,14.721395133479101,75.78834563333382,67.44338837745357,63.20617225382213,20.705171294672134,18.130914959371253,11.926773868791583,21.627045871436994
34,0.5133333333333333,48.97850597673589,72.56175978998183,64.54352649562246,63.53020465101357,17.852040229078348,20.86255840410878,14.729203133090477,23.363879112952425
35,0.6666666666666666,42.93362539817919,74.02989085312609,65.01425089109009,63.48455852958949,17.650554534160914,19.371470465032584,13.391286292580922,22.29742486750308
36,0.006666666666666667,58.347415137998865,65.71812475656539,63.519602856619976,62.956822049576566,26.014009428115614,18.534264397654574,25.043616566165813,17.284739097823625
37,0.013333333333333334,58.31829098574776,65.13075042593208,63.518000104755565,63.18016781525878,25.91344412602354,19.16801517528718,24.940687114684586,17.67369927104889
38,0.013333333333333334,58.317524815439896,65.13102393303696,63.50409546754312,63.17837533767446,24.939527615866936,19.168302821616944,25.91474484497436,17.67347379952528
39,0.94,-9.664479607788577,78.21385478417926,69.26891318357386,63.20773009133746,23.252465860504934,16.868622964008818,11.701559628358744,20.979979812148525
40,0.02,58.2934893275533,65.07055282394532,63.52252145205728,63.20406748891995,25.910441432573094,19.08178249409121,24.917241859221956,17.626684636012776
41,0.94,-3.636220653686966,77.29052778151087,68.42831457049132,62.930851411040116,22.69200700253297,21.077251076753615,11.737696463838619,17.219851180762255
42,0.02666666666666667,56.24570269648674,70.51892551032105,63.940394539777195,62.63092687538604,21.63270322474089,24.647375483739328,20.11786880884916,23.357166565571568
43,0.09333333333333334,55.60527486542588,70.85678299635553,63.96082998777497,62.56029732935543,20.857067324483967,24.10571171171555,19.172892956095566,22.710643754013176
44,0.6666666666666666,42.93359424336682,74.04287042016391,65.01570151566327,63.4228117332357,17.650554583815108,19.363985600231853,13.391286270896709,22.30885485946872
45,0.05333333333333334,57.78922972635621,65.52981220688544,63.53780877127744,63.12470030489126,24.678502089118492,19.316433883407164,23.5299897602023,17.83073618066608
46,0.10666666666666667,55.49780474180115,70.92711635213136,64.0032207423161,62.59555489549486,20.74457074440893,23.98370498018249,19.036770007117322,22.548290457509232
47,0.02666666666666667,58.28858408084274,65.06336096253732,63.513567688642176,63.22634570804158,24.85473017912659,19.02555174146518,25.834566073901268,17.559223699604818
48,0.006666666666666667,58.34737790866981,65.71815372825397,63.51944447584347,62.95666531835555,26.014082579310696,18.53428063302596,25.04355130014156,17.284725929709666
49,0.8733333333333333,9.466861545220418,76.38503331314709,67.86776064703267,63.16269721957481,21.327303110783784,17.802328861736118,11.84950926627195,21.465408987859803
50,0.21333333333333335,54.44118108351237,71.34630213950808,64.07114780190983,62.693895717670266,19.682833425814792,23.546618419581137,17.762522297879798,21.949312282868537
51,0.42,51.466967374222946,71.75821168603841,64.25430727635951,63.527036581408645,18.308813215244875,22.008726036561324,15.719347103203381,24.295813665724793
52,0.7333333333333333,37.13546855212646,74.62432263228283,65.6802206208065,63.32161278429445,18.054580289441436,18.91446074170947,12.774863842441132,22.03797467436971
53,0.7133333333333334,38.86255059810095,74.24333815929893,65.44306546624212,63.36410923862086,17.87745787191512,19.246503601170563,12.913726502169178,22.28909963961682
54,0.5866666666666667,46.29675004145829,73.45576256165907,64.71290790576502,63.537504175751835,17.581990253926612,19.885147508217628,13.981081346439325,22.60862133279305
55,0.4866666666666667,49.70237541753326,72.30381723674154,64.4405592552743,63.49556962337458,17.91086483120976,23.634232072873846,14.94753183550793,21.196909997501262
56,0.9933333333333333,-28.096190811634298,80.28564852142439,70.0880906540138,62.97769935336639,25.125803471088084,20.766504234537024,11.677329492438599,16.120369878460192
57,0.7933333333333333,30.350919639338066,75.19990843615966,66.05219512843553,63.28433960425072,18.83476539582649,18.554101280305996,12.372725272419329,21.891643037870903
58,0.6333333333333333,44.50370831386618,74.11429306660801,64.92970935476119,63.501712909052884,17.583565478632476,19.24448541062986,13.630663959253292,22.135408648469976
59,0.7133333333333334,38.86615856630976,74.78319570014817,65.38529646776571,63.44776057067983,17.876727331149258,18.68424357766639,12.914001875850866,21.794808711915937
60,0.05333333333333334,57.29850204534805,66.4046963541732,63.60489323697911,63.06385317949961,23.492786859064463,19.952438251405457,22.238899292144655,18.48147027112586
61,0.006666666666666667,58.34645654063489,65.71813525923768,63.51269743993052,62.95676581296067,26.01583739342496,18.534270576196406,25.04198596024171,17.284734086551502
62,0.5133333333333333,49.014587702183235,72.56233914663753,64.71114115864033,63.522431517380674,17.83160030260662,20.862115748556946,14.740716673153766,23.364500882186668
63,0.8666666666666667,12.270159208660399,76.22268333567294,67.14580766938252,63.231500841492135,20.98242361626918,17.89330050593965,11.887833134239543,21.527181094937472
64,0.6733333333333333,42.36753743598071,74.10351624862595,65.01137445392874,63.42240799488347,17.718023965359805,19.29971246517861,13.328691610481675,22.257903949968675
65,0.9266666666666666,-5.371337118642035,77.87095345060824,68.50075483989045,63.17134606556944,22.844242589580237,17.031952187872257,11.711567555209914,21.064219347185933
66,0.6866666666666666,40.57947690581972,74.31188925179575,65.3856083087592,63.37849193369741,17.741602500992265,22.09421914580686,13.085108217413842,19.09277832697995
67,0.24666666666666667,54.042336531774446,71.60808996915765,64.0636713958852,62.75351028720597,19.51110643845085,23.276966060932708,17.466358302170615,21.592241139521345
68,0.02,58.296646828338034,65.07096067351293,63.539594651018405,63.208568247272105,25.904326007158684,19.0860287318749,24.92268435609107,17.623339676933302
69,0.6466666666666666,44.01752593192369,73.7597729777926,64.84686436068424,63.49180070194536,17.607626476766708,19.60033599972381,13.551032702500278,22.43651511293319
70,0.15333333333333332,57.34875585649889,64.7348166584914,63.54983072070438,63.32091771854587,23.6106456115241,19.045384730562656,22.366938763595115,17.213007168356135
71,0.7066666666666667,39.033604267129796,74.70130993442062,65.48527165882031,63.42049283871418,17.90479893117486,18.748112422702008,12.935465760005789,21.840065805798183
72,0.35333333333333333,55.53794303869799,64.42798287274937,63.664824857894175,63.731539224871895,20.724760891678088,18.99993136655568,19.087959161257583,15.976961869155213
73,0.7666666666666667,33.454227185224056,74.63962699265848,65.51064500121402,63.335021985386526,18.492602721491963,18.925295030470714,12.53893136922704,22.09227270527786
74,0.76,31.531989182325223,74.99799603323973,66.29008667703518,63.27783706517573,18.69419852596917,21.764969037552998,12.429994314428985,18.559299360075087
