,distance,sigma_x_A,sigma_y_A,sigma_x_B,sigma_y_B
87,37.46674150995804,2454.4068510038605,2454.628550903783,2924.554681405784,2922.52423399783
88,78.89461179933984,3264.3643001245428,3265.116060450958,2860.9807465598806,2861.0399100850573
89,82.61148305220883,2526.3066910616526,2527.0964971618937,2754.706744210589,2739.6501966978512
90,8.007550130688813,2421.6281954927626,2415.1869821083405,2678.0132986785156,2680.720341764369
91,69.98203468629545,1991.603258168589,1990.6707604814737,2425.1702996504446,2425.1101763401575
92,6.630794991861582,3603.9025145764213,3605.373151733638,2313.3047220177336,2315.166025792297
93,32.625220222545856,2735.8715762344304,2736.0969826688624,2383.760684005733,2384.3467010445797
94,106.70520066465792,2329.5541061060785,2327.4690826721935,5018.306941750199,5018.082136314448
95,18.99412125470413,2435.0522346453613,2437.1168781540737,2368.6190749758994,2372.6637634543317
96,74.69399090113214,2236.7468339388492,2236.8844319773134,2610.022706748156,2613.6920257629813
97,52.17160745727711,2400.274080634374,2399.6104670248214,2994.9842889051915,2994.600122341047
98,42.655113480252616,2740.1517017287106,2739.013095826193,2672.5411735696116,2671.5976736354737
99,45.293992107606734,3413.717882562803,3413.593784308113,2285.7000365208337,2285.3258650891976
100,39.49460850060119,1783.5741161379767,1782.1668844471055,3411.7654431502915,3411.7840673750015
101,10.279123514140219,1841.6065504479984,1843.108537556939,3603.5463936147084,3606.34234121391
102,11.486960241720201,2081.593989894122,2083.1570033219805,2897.4561380824866,2888.284653699152
103,92.68113950618108,2508.1452559435334,2509.474476316194,3483.923919036476,3474.067450414938
104,101.70312081155166,2253.896825396856,2252.9233705509623,4056.597306145814,4052.942489752225
105,6.859720979381504,2772.52227057266,2773.708886328559,1987.9716710349437,1989.2908861575297
106,73.45722609482023,2059.5342745788525,2063.701109884862,10389.03626557076,10384.286944364758
107,42.726745816760314,2314.345630520703,2312.788511339389,2479.7644920870175,2479.19272728033
