,score,scale,theta_all,trans_x,trans_y,pro1,pro2
44,12.90959055,1.65,2.749835333,-8,-1,1.134637541,1.669856253
45,13.94006033,1.65,0.664409998,-8,-1,1.225381087,1.524240129
46,10.11507273,1.65,2.425057996,-8,-1,0.889031512,1.204880912
47,10.31128398,1.65,2.302587261,-8,-1,0.906280494,1.074601224
48,11.96968634,1.65,2.624581189,-8,-1,1.052031073,1.442597818
49,11.74458679,1.65,2.30793645,-8,-1,1.032256311,1.608051848
50,8.504233258,1.65,2.059699225,-8,-1,0.747461812,1.105386097
51,9.886646172,1.65,1.980133476,-8,-1,0.8689689,1.346747957
52,12.60056796,1.65,-1.923151139,-8,-1,1.107500806,1.686152897
53,11.136364,1.65,1.883366098,-8,-1,0.978814501,1.172651533
54,12.77429795,1.65,-1.285007335,-8,-1,1.122802124,1.534141422
55,12.13100688,1.65,0.035866649,-8,-1,1.066444852,1.311764948
56,13.13797027,1.65,-1.729291915,-8,-1,1.154742793,1.517565843
57,13.48360227,1.65,0.951426214,-8,-1,1.185199493,1.531213808
58,11.69872709,1.65,2.301237901,-8,-1,1.028225844,1.393908421
59,12.92441059,1.65,1.335435796,-8,-1,1.136002693,1.359574279
60,12.46648562,1.65,3.05164166,-8,-1,1.095689043,1.58626925
61,13.69525612,1.65,3.127059432,-8,-1,1.203686447,1.902193099
62,13.80189053,1.65,-3.05129951,-8,-1,1.213058841,1.560135663
63,11.64438686,1.65,3.125929686,-8,-1,1.023433993,1.391834489
64,11.80571804,1.65,0.554294671,-8,-1,1.03778623,1.416766417
65,10.78997024,1.65,1.667179076,-8,-1,0.948377493,1.198821178
66,11.00490203,1.65,1.626773003,-8,-1,0.967270541,1.318873081
67,11.4847264,1.65,-1.053752125,-8,-1,1.009475445,2.151465339
68,13.76501551,1.65,-2.798372224,-8,-1,1.209820319,1.623445999
69,12.7508306,1.65,-3.076822242,-8,-1,1.120680278,1.58248375
70,12.7026423,1.65,1.424648127,-8,-1,1.116503983,1.406397889
71,12.49057849,1.65,3.114672358,-8,-1,1.097806426,1.493392774
72,13.18186095,1.65,0.495804771,-8,-1,1.158769044,1.515643504
73,9.753153477,1.65,2.678036532,-8,-1,0.857216147,1.275778577
74,11.69152402,1.65,2.109302988,-8,-1,1.027600059,1.376410149
75,11.03098095,1.65,1.569896372,-8,-1,0.969565301,1.423372967
76,10.33865994,1.65,1.890920009,-8,-1,0.908701178,1.175876924
77,10.37096161,1.65,2.25737917,-8,-1,0.911527139,1.238310252
78,10.40035556,1.65,1.827275269,-8,-1,0.914126259,1.220165911
79,12.66865163,1.65,1.684227548,-8,-1,1.113502146,1.720646972
80,12.45809379,1.65,0.443119547,-8,-1,1.095155467,1.404813316
81,9.582559749,1.65,3.128499898,-8,-1,0.842218443,1.094973682
82,13.19852355,1.65,-0.289529613,-8,-1,1.160261333,1.744877947
83,11.7077604,1.65,2.11713813,-8,-1,1.029026804,1.542790468
84,14.69684483,1.65,-0.967099627,-8,-1,1.29182532,1.563488264
85,10.05482956,1.65,1.957623989,-8,-1,0.88375189,1.266539342
86,13.14394796,1.65,1.56308751,-8,-1,1.155284382,1.481541169
87,11.38335118,1.65,2.247181945,-8,-1,1.000508703,1.350281093
88,13.61907686,1.65,1.056033931,-8,-1,1.197091326,1.483983077
89,12.0450432,1.65,2.867970218,-8,-1,1.058649681,1.558178849
90,11.83855522,1.65,2.130979103,-8,-1,1.040522156,1.275886545
91,10.91665057,1.65,1.875550172,-8,-1,0.959503422,1.318668359
92,12.00732734,1.65,1.528251909,-8,-1,1.055383161,1.455216144
93,10.87579251,1.65,2.333569499,-8,-1,0.955895328,1.471932591
94,9.140346714,1.65,0.995354295,-8,-1,0.803425444,1.208458103
95,12.11843894,1.65,1.499464516,-8,-1,1.06515086,1.670450735
96,12.15992942,1.65,0.495908162,-8,-1,1.068934771,1.663146007
97,10.18830957,1.65,1.328908064,-8,-1,0.895511029,1.132622229
98,9.489718249,1.65,-3.036163044,-8,-1,0.834058732,1.172034975
99,10.59465967,1.65,2.736159089,-8,-1,0.931176052,1.152959859
100,12.40058866,1.65,2.743866183,-8,-1,1.089900943,1.496735523
101,10.03668269,1.65,1.653348887,-8,-1,0.882168312,1.162521985
102,13.56503045,1.65,2.637262695,-8,-1,1.192247564,1.842624307
103,10.78238475,1.65,-2.236167132,-8,-1,0.947685366,1.72868078
